fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230716 175825	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	184	TRUE	491	0.0501527172915829	0.630538723932396	2997	383	0.858057653825304	100
20230716 175931	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	729	TRUE	491	0.021615829157518	0.469740123888664	1819	16	0.858500655185777	101
20230716 180435	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1317	TRUE	491	0.00529824946722994	0.99721448294237	2721	600	0.857891297054741	102
20230716 180446	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	29	TRUE	491	0.245395706838887	0.777080900684377	2997	377	0.85768689645151	103
20230716 180907	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1386	TRUE	491	0.00530188701892452	0.901210771617604	2725	695	0.857990849322806	104
20230716 180927	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	264	TRUE	491	0.0847121466812921	0.598573508113495	1692	16	0.858205333730107	105
20230716 180958	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	465	TRUE	491	0.0556412802726275	0.301766968448972	2032	16	0.857978980378507	106
20230716 181613	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1549	TRUE	491	0.00516744182628749	0.462303501774342	1718	113	0.858049545059528	107
20230716 181633	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	243	TRUE	491	0.0728527913979136	0.494890671491533	134	16	0.858786651493565	108
20230716 182045	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1481	TRUE	491	0.00525744125180459	0.999927402228968	2990	914	0.857837016780564	109
20230716 182445	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1851	TRUE	491	0.00516259889053436	0.464401202991961	348	37	0.858863825210011	110
20230716 182925	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1566	TRUE	491	0.00549456325652009	0.727295503799958	2504	444	0.858197099725111	111
20230716 183340	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1343	TRUE	491	0.00522932412530983	0.997625801037123	2684	371	0.857918155375009	112
20230716 184410	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	913	TRUE	491	0.00500006948816415	0.998440159565028	626	1024	0.857072295048483	113
20230716 184429	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	80	TRUE	491	0.105853442686154	0.810546102079901	2998	451	0.857997023675884	114
20230716 184442	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	38	TRUE	491	0.160224867996338	0.99997738934431	2995	354	0.857599521403288	115
20230716 185054	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2210	TRUE	491	0.00501475415519526	0.548294916869078	2449	618	0.858114082012038	116
20230716 185110	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	63	TRUE	491	0.146672625806535	0.591715973555164	2999	91	0.858000633479157	117
20230716 185145	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	84	TRUE	491	0.0887142318108457	0.868684316282906	2394	504	0.857995229372258	118
20230716 185629	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1140	TRUE	491	0.00598908353278387	0.802222591529103	2108	380	0.858022126745969	119
20230716 185643	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	66	TRUE	491	0.133049692029892	0.999841390900553	2979	43	0.857734083580895	120
20230716 190420	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	553	TRUE	491	0.00549158715359411	0.999615028916534	31	220	0.857283118812026	121
20230716 190926	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1565	TRUE	491	0.00521282730126601	0.817745001646812	2939	155	0.858038450299191	122
20230716 190938	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	22	TRUE	491	0.299796331756128	0.999510129434682	2976	754	0.857401082493575	123
