fecha	alpha	lambda	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	gamma	subsample	nrounds	ganancia	iteracion
20230719 150136	0	0	auto	depthwise	256	0	7.16421936789185	0.437748799358669	0.502259372787861	934	365	11	0.270322146425315	101	0.850557748160892	15
20230719 150222	0	0	auto	depthwise	256	0	7.16421936789185	0.575360927736037	0.447169530236473	814	987	83	0.818809098549536	216	0.852423144629078	16
20230719 150243	0	0	auto	depthwise	256	0	7.16421936789185	0.848198757518257	0.355406647602407	98	899	13	0.473533067000972	21	0.850608078300432	17
20230719 150322	0	0	auto	depthwise	256	0	7.16421936789185	0.177337929251953	0.699273443136675	235	855	99	0.975878598626878	149	0.854848730680603	18
20230719 150340	0	0	auto	depthwise	256	0	7.16421936789185	0.939666245502885	0.769855812688669	294	235	66	0.406556332432956	1	0.838368011908321	19
20230719 150413	0	0	auto	depthwise	256	0	7.16421936789185	0.171493126108544	0.647276645689271	474	444	2	0.672676176196546	28	0.855525797768407	20
20230719 150531	0	0	auto	depthwise	256	0	7.16421936789185	0.0723645352452877	0.723587252541135	755	81	85	0.892964435544854	365	0.854360916749039	21
20230719 150553	0	0	auto	depthwise	256	0	7.16421936789185	0.822125773358857	0.309280597255565	878	197	46	0.803712926019216	46	0.852252071549025	22
20230719 150612	0	0	auto	depthwise	256	0	7.16421936789185	0.975348143809533	0.954584138072096	846	938	33	0.45096079025825	1	0.833425825198706	23
20230719 151709	0	0	auto	depthwise	256	0	7.16421936789185	0.0103244109870866	0.424222238066917	589	660	72	0.308098826790228	3687	0.850994407136556	24
20230719 151725	0	0	auto	depthwise	256	0	7.16421936789185	0.736756333041412	0.920777104655281	52	33	24	0.966092499220395	1	0.852252955523932	25
20230719 151808	0	0	auto	depthwise	256	0	7.16421936789185	0.300229613451192	0.873427337832666	87	127	22	0.992802492708134	142	0.856910146279917	26
20230719 151830	0	0	auto	depthwise	256	0	7.16421936789185	0.479659784682871	0.923307535754079	1	17	1	0.997611329366349	4	0.840802785874087	27
20230719 152005	0	0	auto	depthwise	256	0	7.16421936789185	0.318029475949752	0.998747389410168	208	853	41	0.755747863055457	528	0.856217092815542	28
20230719 152042	0	0	auto	depthwise	256	0	7.16421936789185	0.223334738026824	0.98174876953105	150	53	32	0.914266201140324	127	0.85698002596213	29
20230719 152106	0	0	auto	depthwise	256	0	7.16421936789185	0.272224154056623	0.939112284245563	324	310	25	0.953906603565558	47	0.856052409622588	30
20230719 152259	0	0	auto	depthwise	256	0	7.16421936789185	0.158977250769069	0.847121150226826	14	7	32	0.991841290500143	664	0.856968949938662	31
20230719 152329	0	0	auto	depthwise	256	0	7.16421936789185	0.296354199026989	0.998165883033016	1	106	97	0.849604559471367	90	0.85455481011792	32
20230719 152354	0	0	auto	depthwise	256	0	7.16421936789185	0.198032449220288	0.555826723057133	62	133	5	0.995443388402882	20	0.855393307371108	33
20230719 152546	0	0	auto	depthwise	256	0	7.16421936789185	0.165188918484423	0.951297725359965	679	5	47	0.901842904163789	648	0.854945985116132	34
20230719 152639	0	0	auto	depthwise	256	0	7.16421936789185	0.155327808075796	0.999304980419275	0	607	13	0.845916601954164	189	0.85091755773689	35
