fecha	alpha	lambda	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	gamma	subsample	nrounds	ganancia	iteracion
20230718 061020	0	0	auto	depthwise	256	0	7.13078140214216	0.954896046791691	0.711298500668878	14	6	90	0.353551486914512	8	4.11698409472577	15
20230718 062322	0	0	auto	depthwise	256	0	7.13078140214216	0.222013316629455	0.772059524214516	5	35	10	0.719681129266974	15	3.95595418115665	16
20230718 065113	0	0	auto	depthwise	256	0	7.13078140214216	0.0724456399705377	0.991273773702172	44	8	25	0.505213552198256	71	4.02132969490595	17
20230718 070117	0	0	auto	depthwise	256	0	7.13078140214216	0.66772522394167	0.397513897313426	34	43	0	0.835427396079467	8	3.92079824422929	18
20230718 073516	0	0	auto	depthwise	256	0	7.13078140214216	0.351096370181767	0.738726684311405	38	46	98	0.854988129263802	173	3.99119836091288	19
20230718 081238	0	0	auto	depthwise	256	0	7.13078140214216	0.16171076097904	0.439537676082303	2	3	14	0.454238352191169	174	3.98996271931211	20
20230718 082131	0	0	auto	depthwise	256	0	7.13078140214216	0.861738885511586	0.873657914375265	12	13	53	0.911557894018188	6	3.9850290520221	21
20230718 083849	0	0	auto	depthwise	256	0	7.13078140214216	0.518668932853034	0.963757786053854	21	49	55	0.279171538029914	61	3.99012108027893	22
20230718 084942	0	0	auto	depthwise	256	0	7.13078140214216	0.833111774603603	0.420817056670785	50	14	48	0.315919382155698	19	3.98112475789145	23
20230718 091517	0	0	auto	depthwise	256	0	7.13078140214216	0.0408668268405017	0.313357505854219	6	37	83	0.707528493789141	4	3.97361659511343	24
20230718 092350	0	0	auto	depthwise	256	0	7.13078140214216	0.999958076051988	0.757391344149295	14	6	72	0.30781533384558	1	3.93234600049098	25
20230718 093535	0	0	auto	depthwise	256	0	7.13078140214216	0.813307881964232	0.710044776325487	13	5	94	0.516528283843311	25	3.98379195870645	26
20230718 094413	0	0	auto	depthwise	256	0	7.13078140214216	0.708600102792834	0.779057735551521	40	11	52	0.391443253137113	2	3.99796014830463	27
20230718 095239	0	0	auto	depthwise	256	0	7.13078140214216	0.960745581102383	0.771765656093077	27	7	93	0.353442651691465	1	3.9265824093478	28
20230718 100336	0	0	auto	depthwise	256	0	7.13078140214216	0.725504543503045	0.285471976221725	10	12	73	0.913684926013113	19	3.99755746209939	29
20230718 103510	0	0	auto	depthwise	256	0	7.13078140214216	0.456283006505338	0.781669404571876	17	45	40	0.304646099192556	158	3.98997112594848	30
20230718 104954	0	0	auto	depthwise	256	0	7.13078140214216	0.883971634508593	0.520507269060085	1	11	90	0.356965462723302	45	3.97513484351903	31
20230718 110840	0	0	auto	depthwise	256	0	7.13078140214216	0.541999968228135	0.740876305736788	45	31	68	0.327702414245403	70	3.97651392963791	32
20230718 112348	0	0	auto	depthwise	256	0	7.13078140214216	0.194496798152321	0.853241305953264	4	27	55	0.771259640495176	29	3.99406122322555	33
20230718 113401	0	0	auto	depthwise	256	0	7.13078140214216	0.554825063879732	0.375448803623393	21	25	88	0.961116476663097	11	3.98370095552884	34
20230718 115408	0	0	auto	depthwise	256	0	7.13078140214216	0.866267687607312	0.648340321317874	24	40	42	0.405978493846254	82	3.96322831360768	35
20230718 120345	0	0	auto	depthwise	256	0	7.13078140214216	0.957627400402061	0.591897044381313	17	18	57	0.825278067353182	6	4.0746092940785	36
20230718 123847	0	0	auto	depthwise	256	0	7.13078140214216	0.0663173791917553	0.459872958691046	27	41	12	0.791149304986291	108	4.01460834522111	37
20230718 124932	0	0	auto	depthwise	256	0	7.13078140214216	0.406971363634788	0.601697880842164	22	24	49	0.299483991651272	11	3.98458216162578	38
20230718 131046	0	0	auto	depthwise	256	0	7.13078140214216	0.642025921903171	0.922293124679476	46	45	45	0.632071383740869	89	3.99589345156945	39
20230718 132014	0	0	auto	depthwise	256	0	7.13078140214216	0.713293440675754	0.904391441698186	10	14	48	0.900746460270661	7	3.99990641105078	40
20230718 133009	0	0	auto	depthwise	256	0	7.13078140214216	0.923005600937593	0.831249306930043	41	9	29	0.327421191818023	10	3.94554498662921	41
20230718 133940	0	0	auto	depthwise	256	0	7.13078140214216	0.999040508039109	0.369687475823797	30	4	25	0.848902367563453	8	3.70654729116345	42
