fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230717 235901	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.265614652408333	0.680521537240781	690	264	0.805081604191414	172
20230718 001246	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	177	TRUE	491	0.026274001507645	0.530019785563741	2595	463	0.802718860269063	173
20230718 001717	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	14	TRUE	491	0.0803692556554102	0.585850110627338	255	528	0.803304723679973	174
20230718 002341	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	102	TRUE	491	0.117687741087851	0.382521728470153	1754	651	0.802237269382991	175
20230718 003005	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	122	TRUE	491	0.235112564409625	0.372074346071994	2963	950	0.802379913952068	176
20230718 004026	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	139	TRUE	491	0.0397426276164036	0.458953853738401	2263	858	0.803394215703536	177
20230718 004825	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	151	TRUE	491	0.159787802312369	0.689050368996826	2592	754	0.803140591586631	178
20230718 005429	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3	TRUE	491	0.0386996901107451	0.79430343375341	2222	766	0.808983386552212	179
20230718 005727	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	20	TRUE	491	0.296171512469314	0.301547796866158	483	567	0.801392476763463	180
20230718 010316	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.0427543669599248	0.604176645718538	379	284	0.805716142933795	181
20230718 010844	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	100	TRUE	491	0.268694720559383	0.372321589374659	2889	601	0.804838845970623	182
20230718 011120	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	491	0.229451636714139	0.545036116604856	2362	231	0.803045017169864	183
20230718 011727	binary	custom	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	111	TRUE	491	0.199499879342472	0.349460497386917	1245	738	0.803499085765484	184
